user_id,screen_name,text,tweet_id,date,retweet_count,favorite_count,user_description,account_verified,followers,friends,hashtags,mentions,links
1252529524367151111,AlanCas54582316,"@DonPorfifirio Es un paso lógico, que las farmacéuticas o los gobiernos den para tratar de convencer a quien no se quiere vacunar",1464522082474209287,2021-11-27 09:10:48+00:00,0,0,"vive, que más sabes hacer!",False,208,596,[],"[{'screen_name': 'DonPorfifirio', 'name': 'Don Porfifirio Díaz', 'id': 1147658183378272256, 'id_str': '1147658183378272256', 'indices': [0, 14]}]",[]
920446475460595712,alerosario_2014,"Un pobrecito que se cree superior.
Su soberbia le inhibe discernir. Cree que todas las personas con alguna postura… https://t.co/KXZZ3CKUFJ",1464522078804013061,2021-11-27 09:10:47+00:00,0,0,"Leprosa
#Q #Maga 
Reconstrucción argentina= globalismo asesino.
NO AL NWO. RESISTENCIA AL KAKISMO.",False,3807,4370,[],[],"[{'url': 'https://t.co/KXZZ3CKUFJ', 'expanded_url': 'https://twitter.com/i/web/status/1464522078804013061', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
1410244812129902597,Bambita44867872,"Y así nace la fábrica de virus, perdón 🤭 de vacunas más grande del mundo

https://t.co/z21duL3gv7",1464522072135278593,2021-11-27 09:10:46+00:00,0,0,"Cara, canija  culera y #quemeanotenenlaputalista",False,63,479,[],[],"[{'url': 'https://t.co/z21duL3gv7', 'expanded_url': 'https://www.forbes.com.mx/pfizer-biontech-empresa-sudafrica-produccion-vacuna/', 'display_url': 'forbes.com.mx/pfizer-biontec…', 'indices': [74, 97]}]"
250829224,InakiSilveira,@vanesapizarro Por eso quizá nos hemos puesto demasiado nerviosos con la variante antes de tiempo en países con alt… https://t.co/PPs2GENn0a,1464522063675375619,2021-11-27 09:10:44+00:00,0,0,"Another Brick in the Wall. Naves en llamas más allá de Orión. Estas son mis fotografías. Si no le gustan, tengo otras.",False,1404,580,[],"[{'screen_name': 'vanesapizarro', 'name': 'Vanesa Pizarro', 'id': 169867918, 'id_str': '169867918', 'indices': [0, 14]}]","[{'url': 'https://t.co/PPs2GENn0a', 'expanded_url': 'https://twitter.com/i/web/status/1464522063675375619', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
1153035294792249344,TodosConMx,¿Vacunación COVID obligatoria en México? Esto dice AMLO – El Financiero https://t.co/jrV5U3TLid,1464522060298964995,2021-11-27 09:10:43+00:00,0,0,Organización ciudadana comprometida a promover la participación social,False,260,101,[],[],"[{'url': 'https://t.co/jrV5U3TLid', 'expanded_url': 'https://ciudadanospormexico.org/vacunacin-covid-obligatoria-en-mxico-esto-dice-amlo-el-financiero/?utm_source=contentstudio.io&utm_medium=referral', 'display_url': 'ciudadanospormexico.org/vacunacin-covi…', 'indices': [72, 95]}]"
2951089214,Vanessa_lh10,@casabonnline Y te enteraste también como funcionan las vacunas o todavía sigues pensando que no transmiten el virus?,1464522058528870401,2021-11-27 09:10:42+00:00,0,2,"No creo en Chavistas reformados. If you believe socialism is the best, you are more than welcome to go to my country",False,112,1250,[],"[{'screen_name': 'casabonnline', 'name': 'Cristina Casabón', 'id': 220486793, 'id_str': '220486793', 'indices': [0, 13]}]",[]
927915191341338624,MCarmenRguez87,Sois unos cansinos con el pasaporte covid. No os dais cuenta que la vacuna no es esterilizante y que da una falsa s… https://t.co/Km82w5KaoT,1464522032067096578,2021-11-27 09:10:36+00:00,0,0,I love treking and play guitar.,False,70,165,[],[],"[{'url': 'https://t.co/Km82w5KaoT', 'expanded_url': 'https://twitter.com/i/web/status/1464522032067096578', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
1238839998293708800,JesusM_77,"@irianovo Hasta que no se actúe legislando sobre la calidad del aire en interiores, forma mayoritaria de contagios,… https://t.co/tlxadYNiN0",1464521981651558403,2021-11-27 09:10:24+00:00,2,5,"Inconformista con la injusticia y amante de la ironía.

⛔+Covid VS #ZeroCovid

#PandemicMatrix #PastillaRojaSiempre",False,431,1217,[],"[{'screen_name': 'irianovo', 'name': 'Irene Fernández Novo', 'id': 119404032, 'id_str': '119404032', 'indices': [0, 9]}]","[{'url': 'https://t.co/tlxadYNiN0', 'expanded_url': 'https://twitter.com/i/web/status/1464521981651558403', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
1247871625833447426,GustavM45809055,"@LorenzoRamirez_ Ayer lanzaron los ""tanques"". Revolcón bursátil, bonos, materias primas y bombardeo para vacunar a… https://t.co/PIclvRI3dj",1464521981202599937,2021-11-27 09:10:24+00:00,3,9,,False,491,329,[],"[{'screen_name': 'LorenzoRamirez_', 'name': 'Lorenzo Ramírez', 'id': 288379697, 'id_str': '288379697', 'indices': [0, 16]}]","[{'url': 'https://t.co/PIclvRI3dj', 'expanded_url': 'https://twitter.com/i/web/status/1464521981202599937', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
988858153382137857,OesEscriban,¿ Habrán creado otro virus para vender más vacunas?...,1464521969752317955,2021-11-27 09:10:21+00:00,0,0,estudiante de la vida,False,426,1361,[],[],[]
216564258,optimusinforma,Dan a conocer sedes de vacunación para jóvenes de 15 a 17 años https://t.co/DPmU0639jW,1464521965843136517,2021-11-27 09:10:20+00:00,0,0,Fundada en Noviembre del 2010,False,1638,1029,[],[],"[{'url': 'https://t.co/DPmU0639jW', 'expanded_url': 'https://www.optimusinformativo.com/?p=389551', 'display_url': 'optimusinformativo.com/?p=389551', 'indices': [63, 86]}]"
302127036,IanCroos,@morganaskwlkr Vale no lo encuentro. Pero si es ese. Además también te da la posibilidad de capturar sólo el código… https://t.co/F8a2WIy1pO,1464521963678965762,2021-11-27 09:10:20+00:00,0,0,Interesado en lo relacionado con cultura (Hago geodatabases corporativas. Cuando me dejan el #ArcgisServer) Cuenta y opiniones estrictamente personales.,False,612,2167,[],"[{'screen_name': 'morganaskwlkr', 'name': 'morganapendragon', 'id': 280091270, 'id_str': '280091270', 'indices': [0, 14]}]","[{'url': 'https://t.co/F8a2WIy1pO', 'expanded_url': 'https://twitter.com/i/web/status/1464521963678965762', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
1343225776779505666,Alf74387985,"@payunpayun @blupend @casabonnline Aunque sea así, ¿los vacunados se contagian hasta cuatro veces menos, o igual, o… https://t.co/u301FP1clw",1464521915620638726,2021-11-27 09:10:08+00:00,0,0,Down with that sort of thing!,False,53,99,[],"[{'screen_name': 'payunpayun', 'name': 'David Oliveros Escribano', 'id': 1320177115, 'id_str': '1320177115', 'indices': [0, 11]}, {'screen_name': 'blupend', 'name': 'Blupend 🇪🇸 🇪🇺', 'id': 726521197576486916, 'id_str': '726521197576486916', 'indices': [12, 20]}, {'screen_name': 'casabonnline', 'name': 'Cristina Casabón', 'id': 220486793, 'id_str': '220486793', 'indices': [21, 34]}]","[{'url': 'https://t.co/u301FP1clw', 'expanded_url': 'https://twitter.com/i/web/status/1464521915620638726', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
